header,,,,,,,footer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
servers,threads count,concurrency,run time,window,set_prop,get_prop,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,cmd_get,cmd_set,get_missed,written bytes,read_bytes,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std,get events,get min,get max,get avg,get geo,get std,set events,set min,set max,set avg,set geo,set std,total events,total min,total max,total avg,total geo,total std
10.0.0.8:11212,1,1,30s,10k,set_prop=0.01,get_prop=0.99,53204,538,0,1256546,8782799,53460,541,0,1262520,8825220,52634,532,0,1243046,8688701,53680,543,0,1267818,8861379,53293,539,0,1258664,8797492,53203,145,9286,558,467.28,449.34,538,182,3609,560,476.28,400.39,53741,145,9286,558,467.37,448.89,53460,139,11695,555,464.99,445.67,540,191,3266,561,483.5,372.26,54000,139,11695,555,465.18,445.07,52633,142,9134,564,475.14,436.73,532,178,3306,568,482.84,392.45,53165,142,9134,564,475.21,436.35,53679,135,9279,553,463.5,431.23,543,167,5392,583,487.33,472.76,54222,135,9279,553,463.73,432.05,53292,142,9696,557,468.39,443.42,539,174,2871,537,466.23,356.32,53831,142,9696,557,468.37,442.39
10.0.0.8:11212,3,3,30s,10k,set_prop=0.01,get_prop=0.99,137484,1390,0,3246982,22695485,135390,1369,0,3197554,22349807,142102,1436,0,3355938,23457823,140515,1421,0,3318624,23195848,138634,1401,0,3274042,22885323,137481,151,9574,649,551.42,488.15,1390,181,3767,643,558.87,411.3,138871,151,9574,649,551.49,487.36,135387,144,10248,659,555.98,503.58,1369,182,6085,670,566.54,527.48,136756,144,10248,659,556.09,503.97,142099,141,11288,627,532.19,470.48,1436,166,3544,623,532.11,432.69,143535,141,11288,627,532.19,470.06,140512,152,9058,637,541.99,471.43,1421,181,7298,640,544.77,492.33,141933,152,9058,637,542.02,471.68,138631,146,11794,643,546.45,480.13,1401,197,10394,657,555.47,540.42,140032,146,11794,643,546.54,480.96
10.0.0.8:11212,5,5,30s,10k,set_prop=0.01,get_prop=0.99,210147,2126,0,4963284,34690438,212021,2145,0,5007552,34999800,214613,2170,0,5068576,35427680,211157,2136,0,4987104,34857168,209435,2119,0,4946500,34572902,210142,134,9336,708,606.82,502.9,2126,203,7255,727,623.23,524.79,212268,134,9336,708,606.98,503.39,212016,141,11312,701,600.75,498.99,2145,174,5218,717,615.52,495.31,214161,141,11312,701,600.89,499.18,214608,144,10212,692,589.7,515.75,2170,190,8060,707,604.29,518.17,216778,144,10212,692,589.84,515.97,211152,130,9515,703,596.32,531.76,2136,173,5071,716,607.56,527.31,213288,130,9515,704,596.43,530.57,209430,139,10581,709,605.48,508.31,2119,186,6660,730,623.01,526.9,211549,139,10581,709,605.66,508.79
10.0.0.8:11212,7,7,30s,10k,set_prop=0.01,get_prop=0.99,296712,3000,0,7007510,48980325,277362,2805,0,6550610,45786015,293899,2973,0,6941304,48515964,290077,2932,0,6850660,47885006,294542,2978,0,6956250,48622099,296705,122,11766,701,597.87,511.5,3000,173,4829,699,601.67,477.86,299705,122,11766,701,597.91,511.14,277355,133,11470,750,641,536.95,2805,152,5259,762,648.98,541.6,280160,133,11470,750,641.08,537.17,293892,130,9003,708,606.6,504.69,2973,168,4893,721,616.43,501.62,296865,130,9003,708,606.7,504.85,290070,122,8922,717,615.21,510.16,2932,169,7380,722,617.99,527.01,293002,122,8922,717,615.24,510.4,294535,117,9412,707,608.95,487.68,2978,180,6672,722,618.8,512.82,297513,117,9412,707,609.04,488.16
10.0.0.8:11212,9,9,30s,10k,set_prop=0.01,get_prop=0.99,351017,3550,0,8290176,57944720,343496,3474,0,8112554,56703147,348474,3523,0,8229910,57524909,355619,3595,0,8398620,58704410,352607,3565,0,8327418,58207347,351008,119,12638,765,653.29,546.18,3550,183,5400,768,662.73,518.36,354558,119,12638,765,653.38,545.95,343487,110,12225,779,662.22,565.99,3474,146,12173,798,672.67,660.45,346961,110,12225,779,662.32,567.28,348465,129,10680,768,657.64,537.17,3523,160,6099,773,663.03,545.9,351988,129,10680,768,657.69,537.33,355610,121,8876,752,645.83,518.34,3595,200,8790,767,656.22,555.84,359205,121,8876,752,645.94,518.95,352599,121,9755,758,638.87,565.14,3564,155,8956,773,649.52,570.69,356163,121,9755,758,638.98,565.4
10.0.0.8:11212,11,11,30s,10k,set_prop=0.01,get_prop=0.99,405950,4105,0,9587458,67012775,410856,4156,0,9703550,67822673,414341,4193,0,9786140,68397994,411254,4160,0,9712946,67888375,411270,4160,0,9713298,67891015,405939,133,11606,805,687.46,579.83,4105,154,7665,813,696.18,566.28,410044,133,11606,805,687.55,579.8,410845,132,10481,796,679.1,582.96,4156,183,8283,822,691.01,640.53,415001,132,10481,796,679.22,583.92,414330,135,10717,789,671.42,579.61,4193,182,8252,820,689.82,647.45,418523,135,10717,789,671.6,580.76,411243,125,12168,795,680.16,573.5,4160,173,7737,800,686.6,566.7,415403,125,12168,795,680.22,573.5,411259,132,10374,795,680.43,558.06,4160,170,9705,817,691.56,623.08,415419,132,10374,795,680.54,559.06
10.0.0.8:11212,13,13,30s,10k,set_prop=0.01,get_prop=0.99,469939,4753,0,11098714,77575971,467160,4726,0,11033394,77117063,460032,4655,0,10865218,75940375,452376,4574,0,10683826,74676487,444226,4494,0,10491726,73331097,469927,127,13572,822,684.74,686.65,4752,177,8869,830,691.99,706.55,474679,127,13572,822,684.82,686.95,467147,138,14282,827,699.49,632.11,4726,169,7501,827,707.33,579.57,471873,138,14282,827,699.57,631.6,460019,139,17480,839,702.12,686.83,4655,196,15139,876,721.73,781.97,464674,139,17480,840,702.31,687.09,452363,126,12573,853,684.06,838.94,4574,191,10559,874,693.11,890.06,456937,126,12573,854,684.15,838.67,444213,127,12576,869,705.69,818.65,4494,155,7573,888,718.49,830.2,448707,127,12576,869,705.82,818.97
10.0.0.8:11212,15,15,30s,10k,set_prop=0.01,get_prop=0.99,505104,5108,0,11929238,83380549,518256,5243,0,12240182,85551709,520766,5268,0,12299402,85966059,521107,5272,0,12307544,86022356,515520,5214,0,12175350,85100037,505089,128,13242,883,723.03,796.63,5108,168,7313,903,737.96,795.12,510197,128,13242,883,723.18,796.84,518241,136,12617,860,717.96,694.39,5243,191,7801,871,727.62,689.22,523484,136,12617,860,718.06,694.47,520751,127,14952,856,714.79,678.05,5268,154,9532,857,720.88,643.76,526019,127,14952,856,714.85,677.73,521092,123,12303,855,719.52,665.12,5272,166,9138,848,718.57,640.48,526364,123,12303,855,719.51,664.79,515505,121,14302,865,731.38,647.39,5214,179,7745,870,736.56,636.41,520719,121,14302,865,731.43,647.34
10.0.0.8:11212,17,17,30s,10k,set_prop=0.01,get_prop=0.99,556150,5626,0,13135086,91806953,551666,5579,0,13028918,91066717,551109,5576,0,13016184,90974788,541347,5476,0,12785420,89363258,550004,5564,0,12989954,90792367,556133,132,12479,907,747.46,778.42,5626,162,12235,905,743.08,795.02,561759,132,12479,907,747.41,778.57,551649,123,14394,915,740.73,831.47,5579,161,10964,920,746.58,827.16,557228,123,14394,915,740.79,831.48,551092,120,13970,916,753.47,792.97,5576,150,9195,922,759.13,799.34,556668,120,13970,916,753.52,793.1,541330,126,13850,932,750.48,886.17,5476,172,13082,960,759.57,967.94,546806,126,13850,933,750.57,886.28,549987,130,10049,918,744.11,838.07,5564,156,9759,941,758.41,874.84,555551,130,10049,918,744.25,838.7
10.0.0.8:11212,19,19,30s,10k,set_prop=0.01,get_prop=0.99,519996,5260,0,12281094,85838285,540510,5470,0,12766002,89224775,535516,5419,0,12647974,88400357,533737,5400,0,12605796,88106670,541703,5480,0,12793848,89421700,519977,128,19205,1085,797.48,1241.42,5260,158,10287,1084,799.04,1242.83,525237,128,19205,1085,797.49,1241.42,540491,142,15440,1044,797.43,1121.98,5470,203,12667,1063,804.66,1180.1,545961,142,15440,1044,797.5,1122.76,535497,132,14440,1054,803,1133.92,5419,140,12998,1050,805.39,1118.41,540916,132,14440,1054,803.03,1133.72,533718,127,14897,1056,804.88,1139.32,5400,147,10859,1073,816.14,1164.87,539118,127,14897,1057,804.99,1138.81,541684,130,15037,1042,795.37,1120.69,5480,192,12151,1013,791.63,1025,547164,130,15037,1041,795.33,1120.43
