MIDDLEWARE MEAN TIMES,,,,,,,,,,,,,,,,,
,3_1,t_total,t_queue,t_mcd,leftover,,5_1,t_total,t_queue,t_mcd,leftover,,7_1,t_total,t_queue,t_mcd,leftover
,all,20437.80,12515.60,2199.81,5722.39,,all,21540.88,8224.80,2571.24,10744.83,,all,27064.50,8316.90,3459.47,15288.12
,get,20787.84,13016.29,2036.06,5735.49,,get,21589.85,8476.47,2367.98,10745.40,,get,26998.81,8492.88,3223.73,15282.20
,set,13737.99,2932.91,5333.34,5471.74,,set,20604.54,3413.79,6456.93,10733.82,,set,28325.74,4956.29,7970.01,15399.44
,,,,,,,,,,,,,,,,,
,3_2,t_total,t_queue,t_mcd,leftover,,5_3,t_total,t_queue,t_mcd,leftover,,7_4,t_total,t_queue,t_mcd,leftover
,all,20783.60,12377.11,2262.99,6143.51,,all,21595.29,8187.73,2755.06,10652.50,,all,27989.52,8534.18,3723.76,15731.58
,get,21087.47,12883.88,2055.44,6148.14,,get,21554.87,8416.89,2512.10,10625.88,,get,27863.03,8693.71,3434.39,15734.93
,set,14961.01,2666.52,6239.47,6055.02,,set,22369.17,3788.14,7418.43,11162.60,,set,30396.42,5493.33,9236.42,15666.66
,,,,,,,,,,,,,,,,,
,3_3,t_total,t_queue,t_mcd,leftover,,5_5,t_total,t_queue,t_mcd,leftover,,7_7,t_total,t_queue,t_mcd,leftover
,all,20882.10,12198.72,2331.40,6351.97,,all,22437.38,8690.39,2886.02,10860.97,,all,28494.70,8748.95,3914.92,15830.82
,get,21138.42,12678.36,2095.61,6364.45,,get,22424.00,8951.23,2630.53,10842.24,,get,28267.81,8926.35,3543.26,15798.20
,set,15979.37,3025.61,6840.65,6113.11,,set,22694.12,3704.14,7770.99,11218.98,,set,32801.04,5379.63,10973.53,16447.88
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
T_queue_percentiles,,,,,,,,,,,,,,,,,
,,1 rep,0.25,0.5,0.75,0.95,,,1 rep,0.25,0.5,0.75,0.95,,,,
,3 servers,get,3433.5,10473.75,18738.25,35560.875,,3 servers,set,3,1274.125,4699.3125,9700.225,,,,
,5 servers,get,1658.5625,6249.375,11401.8125,24418.55,,5 servers,set,4.5,1540.75,4834.8125,13502.8,,,,
