,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
5,25947,15518.58,24917,13135.94,25268,13038.06
10,18846,14986.57,18833,14507.56,18017,14256.56
15,17934,10807.67,17974,10574.59,17551,10427.45
20,15836,9547.46,16372,9436.64,15860,9086.2
25,16948,7683.11,17187,7932.5,16737,7759.34
30,15501,7187.61,14790,7759.91,14235,7087.67
35,14136,8246.39,15804,8025.41,15413,8340.48
40,15934,8498.34,17258,19836.39,16630,19524.43
45,17193,21067.94,16508,10541.96,16202,10248.86
50,17340,19558.8,18030,19737.57,17336,19358.52
55,15659,8278.43,16567,9074.98,15767,8873.73
60,15591,7844.9,14748,7376.73,14566,6986.14
65,15871,8466.03,17339,8926.38,16569,8464.76
70,16758,13453.29,17657,13450.28,16846,13495.31
75,17122,9576.56,17163,10512.35,17022,10425.13
80,16263,10156.31,17215,9641.48,16301,9330.25
85,17776,20256.04,18347,20679.11,17415,20306.88
90,17121,15227.49,16620,14595.02,16320,14453.79
95,16748,13647.82,17524,13805.7,16987,13544.54
100,15137,7856.39,15759,7847.65,15295,7720.48
105,14994,8744.91,16428,13476.29,15006,8692.38
110,16838,13318.51,16318,8382.45,16565,13007.83
115,15347,8024.92,15852,8933.11,15052,8261.82
120,13672,7710.04,13970,8327.12,13903,8511.55
125,15025,9556.85,15942,10170.15,15580,9854.6
130,15511,12843.01,16501,11789.48,15720,11830.22
135,15790,12038.1,14820,11766.61,15088,11736.25
140,14704,11479.91,15475,11710.26,14519,11499.15
145,13402,7247.57,13807,7765.45,13490,7615.01
150,14727,9120.18,14925,8827.91,14947,8608.05
155,14149,7745.62,15402,9480.05,14567,9211.79
160,14964,12647.68,15114,11628.8,14735,11393.4
165,15236,9420.53,15034,9156.41,14801,9113.76
170,14238,7440.05,15924,7434.62,15013,7246.74
175,14055,6939.1,15508,29373.02,15464,29105.87
180,17729,30942.86,16143,10260.49,15643,9925.76
185,16258,11348.57,18944,25421.19,18211,24869.73
190,17565,25666.17,17001,14116.96,16702,13927.73
195,15615,9053.41,15179,7985.57,14795,7833.28
200,15295,7930.48,16239,8006.3,15529,7726.33
205,15231,10682.21,16198,15252.22,15970,15013.79
210,19057,31048.92,19863,30955.52,18338,28984.1
215,17929,21187.98,17356,18789.17,17394,20636.05
220,16707,32318.44,17445,33907.05,16890,32989.27
225,15068,7644.93,16200,11659.73,15718,11427.77
230,16720,12263.37,15740,7911.94,15636,7696.48
235,14127,7698.11,14959,8094.67,14072,7793.73
240,15134,10020.02,15922,10541.93,15848,10338.82
245,16254,10121.19,15977,9289.71,15859,9205.78
250,16352,20067.15,16515,20554.58,15507,19966.07
255,14269,10107.01,14396,10172.14,14488,10112.58
260,13989,8547.35,15291,8539.3,14351,8324.38
265,14529,8287.23,15658,9989.06,15047,9495.75
270,15783,10577.53,16169,12924.39,15652,11602.31
275,15806,11965.1,14430,8091.42,14853,9744.76
280,14523,11960.72,15094,12165.25,14352,11860.36
285,14003,7914.1,14291,7973.71,14120,7981.1
290,14141,16480.26,14816,18022.77,14531,17503.26
295,14593,9546.53,15410,7729.69,14906,7417.25
300,14416,10297.6,15389,10906.53,14564,10460.18
305,16631,9116.88,15218,9270.6,15826,9510.16
310,14620,19995.99,15599,20554.27,14368,19716.22
315,16718,14719.09,16584,14436.27,16597,14305.13
320,14802,8526.22,16604,9626.82,15497,9067.35
325,16453,9023.35,17325,12246.06,17268,12543.39
330,15450,12046.28,15416,8174.02,14648,7370.51
335,15320,12334.11,15343,12225.68,14876,12399.83
340,14655,8193.97,16395,10111.07,15783,9700.57
345,17078,9689.3,15527,12488.11,15985,12541.13
350,15293,15871.74,15125,12722.04,14781,12747.64
355,14269,31050.61,15485,32879.95,15019,31360.33
