,Client 1,Client 2,Client 3
Time,TPS,TPS,TPS
5,2473,2582,2548
10,3405,3427,3573
15,3588,3586,3677
20,4054,3941,4069
25,3788,3755,3858
30,4148,4358,4499
35,4540,4082,4179
40,4032,3738,3861
45,3737,3904,3965
50,3707,3573,3694
55,4098,3898,4084
60,4125,4358,4411
65,4025,3699,3883
70,3854,3638,3809
75,3748,3751,3771
80,3950,3650,3945
85,3611,3571,3680
90,3757,3872,3942
95,3824,3670,3783
100,4250,4076,4200
105,4286,3925,4284
110,3816,3944,3877
115,4190,4047,4264
120,4634,4603,4624
125,4334,4029,4121
130,4135,3893,4089
135,4070,4338,4264
140,4370,4152,4421
145,4791,4637,4765
150,4365,4313,4295
155,4547,4175,4406
160,4302,4250,4366
165,4235,4273,4341
170,4531,4028,4281
175,4263,4147,4178
180,3893,3979,4124
185,3919,3391,3545
190,3716,3773,3849
195,4123,4243,4359
200,4200,3949,4134
205,4216,3965,4030
210,3376,3233,3498
215,3577,3695,3704
220,3850,3694,3805
225,4261,3975,4083
230,3842,4094,4116
235,4549,4319,4561
240,4244,4009,4052
245,3951,4081,4058
250,3923,3880,4133
255,4499,4507,4438
260,4600,4220,4476
265,4422,4115,4269
270,4072,3992,4088
275,4065,4470,4346
280,4415,4272,4449
285,4593,4508,4574
290,4536,4357,4421
295,4406,4182,4304
300,4455,4192,4418
305,3865,4239,4058
310,4399,4134,4460
315,3836,3886,3879
320,4342,3887,4135
325,3905,3722,3727
330,4157,4136,4383
335,4191,4245,4322
340,4384,3939,4060
345,3697,4155,4028
350,4278,4262,4344
355,4430,4161,4298
360,4820,4868,4882
365,4892,4839,4994
370,4884,4549,4787
375,4912,4250,4537
380,3632,3853,3756
385,4350,4129,4378
390,3816,3562,3852
395,3753,3853,3716
400,3944,3866,4021
405,4239,4127,4344
410,3676,3576,3641
415,3808,3786,3904
420,4152,4156,4347
425,3939,3739,3706
430,4234,4045,4213
435,3803,3805,3939
440,3970,3703,3835
445,3705,3833,3960
450,3797,3611,3868
455,3813,3773,3674
460,4128,4115,4291
465,3984,3776,3946
470,4140,4130,4191
475,4227,4417,4260
480,4656,4381,4615
485,4151,4011,4205
490,4339,4105,4138
495,4109,4201,4174
500,4376,4184,4367
505,3931,3885,3980
510,3914,3829,3893
515,4027,3718,3966
520,3920,3856,3982
525,3702,3524,3578
530,3915,3766,3948
